macro_f1,weighted_f1,mcc,auprc_macro,fp_rate,brier,ece,seed,source,model,target,setting
0.987142988394284,0.9946820310109349,0.9745873789059151,0.986523139688012,0.00010586718457565533,0.0051502312616367,0.0009352043756318248,44,nf2018,mlp,nf2018,in_domain
0.4907215029859672,0.9271999077077462,-0.018517635214517523,0.49005359970579293,0.03575937227550131,0.06466247859245025,0.04793606837300762,44,nf2018,mlp,nfunsw,zero_shot
0.4211386484854923,0.7351853994697385,-0.15480976955560272,0.5066166609621899,0.19211491126691513,0.19161278607407406,0.1439482518518518,44,nfunsw,rf,nf2018,zero_shot
0.9814363534306717,0.997289278879017,0.9629073385748677,0.9942637600710293,0.0017367044463818657,0.0020978049355208674,0.0004994429754505331,44,nfunsw,rf,nfunsw,in_domain
0.47397808552289034,0.8242590094841988,-0.003926562928373722,0.44052060794628234,0.009244473795981333,0.12879248762728748,0.13788478570515889,44,nfunsw,lgbm,nf2018,zero_shot
0.979805366634381,0.9970498642836257,0.9596530535029677,0.9951141035887883,0.0018971229293809938,0.002228090111753198,0.0003127886618669349,44,nfunsw,lgbm,nfunsw,in_domain
0.4290965551200584,0.7382604720240562,-0.13845689056964128,0.47958493683418246,0.19121504019802205,0.26357680298623326,0.26499619110252,44,nfunsw,mlp,nf2018,zero_shot
0.9722105158886671,0.9959178277605536,0.9446323474479897,0.9917386201761537,0.002955536181342633,0.0029678302140755497,0.0003972249583653859,44,nfunsw,mlp,nfunsw,in_domain
0.9888989831889667,0.9954025443113492,0.9780229916852027,0.9854197612994415,9.326394831664875e-05,0.004794743654320988,0.005029051851851958,45,nf2018,rf,nf2018,in_domain
0.4906836098714402,0.9437065586263609,0.01608512715559953,0.4970516504450584,1.7436791630340016e-06,0.05365454178206097,0.11892962363931653,45,nf2018,rf,nfunsw,zero_shot
0.9879662200797901,0.9950150490581867,0.9761438240714736,0.9853598512008541,0.0003856590295256016,0.004853889952893915,0.00041179565450682266,45,nf2018,lgbm,nf2018,in_domain
0.46345565263873,0.8694119798129729,-0.048216064773788044,0.50619307378225,0.1470880557977332,0.1760844589161001,0.17748509224516673,45,nf2018,lgbm,nfunsw,zero_shot
