seed,target,model,budget,design,rule,n_labels,n_fit,n_threshold,n_benign_fit,n_benign_threshold,fp_observed_threshold,fp_bound_threshold,benign_rate_pool,benign_rate_threshold,mcc_at_threshold,tpr_dep,fpr_dep,tpr_oracle,thr,fit_s,benign_expected,benign_ratio
42,nfbotv2,rf,0.001,split,diversity,2100,1470,630,16,7,0.0,0.348164,0.004195,0.011111,0.683897,0.995411,0.011919,0.994949,0.926667,0.6,2.64285,2.648656
42,nfbotv2,rf,0.001,split,uniform,2100,1470,630,5,2,0.0,0.776393,0.004195,0.003175,0.683937,0.99761,0.197855,0.0,0.79,0.6,2.64285,0.756759
42,nfbotv2,rf,0.001,reserved,diversity,2100,1470,630,24,2,0.0,0.776393,0.004195,0.003175,0.728629,0.996335,0.002384,0.998479,0.933333,0.6,2.64285,0.756759
42,nfbotv2,rf,0.001,reserved,uniform,2100,1470,630,7,2,0.0,0.776393,0.004195,0.003175,0.777202,0.997946,0.075089,0.0,0.91,0.6,2.64285,0.756759
42,nfbotv2,lgbm,0.0001,split,diversity,210,147,63,6,3,0.0,0.631597,0.004195,0.047619,0.024111,0.145716,0.014303,0.08707,0.999999,0.0,0.264285,11.351382
42,nfbotv2,lgbm,0.0001,split,uniform,210,147,63,0,0,,,0.004195,0.0,,,,,,,0.264285,0.0
42,nfbotv2,lgbm,0.0001,reserved,diversity,210,147,63,7,0,0.0,,0.004195,0.0,,,,0.031477,,0.0,0.264285,0.0
42,nfbotv2,lgbm,0.0001,reserved,uniform,210,147,63,0,0,,,0.004195,0.0,,,,,,,0.264285,0.0
42,nfbotv2,lgbm,0.001,split,diversity,2100,1470,630,16,7,0.0,0.348164,0.004195,0.011111,0.709554,0.996229,0.028605,0.995115,0.999954,0.1,2.64285,2.648656
42,nfbotv2,lgbm,0.001,split,uniform,2100,1470,630,5,2,0.0,0.776393,0.004195,0.003175,0.739874,0.99888,0.255066,0.901261,0.999713,0.1,2.64285,0.756759
42,nfbotv2,lgbm,0.001,reserved,diversity,2100,1470,630,24,2,0.0,0.776393,0.004195,0.003175,0.828895,0.998112,0.002384,0.998303,0.999901,0.1,2.64285,0.756759
42,nfbotv2,lgbm,0.001,reserved,uniform,2100,1470,630,7,2,0.0,0.776393,0.004195,0.003175,0.30911,0.973644,0.160906,0.927315,0.999996,0.1,2.64285,0.756759
42,nfbotv2,mlp,0.0001,split,diversity,210,147,63,6,3,0.0,0.631597,0.004195,0.047619,0.0,0.0,0.0,0.0,1.0,0.1,0.264285,11.351382
42,nfbotv2,mlp,0.0001,split,uniform,210,147,63,0,0,,,0.004195,0.0,,,,,,,0.264285,0.0
42,nfbotv2,mlp,0.0001,reserved,diversity,210,147,63,7,0,0.0,,0.004195,0.0,,,,0.0,,0.1,0.264285,0.0
42,nfbotv2,mlp,0.0001,reserved,uniform,210,147,63,0,0,,,0.004195,0.0,,,,,,,0.264285,0.0
42,nfbotv2,mlp,0.001,split,diversity,2100,1470,630,16,7,0.0,0.348164,0.004195,0.011111,-0.012043,0.084103,0.135876,0.0,0.999999,0.9,2.64285,2.648656
42,nfbotv2,mlp,0.001,split,uniform,2100,1470,630,5,2,0.0,0.776393,0.004195,0.003175,0.480623,0.998659,0.587604,0.0,0.971322,0.3,2.64285,0.756759
42,nfbotv2,mlp,0.001,reserved,diversity,2100,1470,630,24,2,0.0,0.776393,0.004195,0.003175,0.666541,0.997269,0.194279,0.0,0.763565,2.1,2.64285,0.756759
42,nfbotv2,mlp,0.001,reserved,uniform,2100,1470,630,7,2,0.0,0.776393,0.004195,0.003175,0.432453,0.99519,0.430274,0.0,0.977408,0.3,2.64285,0.756759
