seed,source,target,model,budget,strategy,n_train,macro_f1,weighted_f1,mcc,auprc_macro,fp_rate,brier,ece,mcc_best_thr,thr_best,buffer_est,thr_applied,single_class_buffer,fit_s
43,nfbotv2,nfunswv2,mlp,0.001,rethreshold,1392,0.4368029787306297,0.8505467954249302,0.1565875441064732,0.5231553068796795,0.4080969850656302,0.1964728547712498,0.1991159544727609,0.1585230218140786,5.776363460737384e-25,0.1967304717059342,1.3970969235142544e-23,0.0,
43,nfbotv2,nfunswv2,mlp,0.01,calibrate,13907,0.490370551571952,0.943678896856096,0.0,0.5205604979101172,0.0,0.0362632215884579,0.0150410405231354,0.1552506803758694,0.0329935476150359,,,0.0,
43,nfbotv2,nfunswv2,mlp,0.01,rethreshold,13907,0.4562578248504731,0.8505467954249302,0.1553995083705996,0.5231553068796795,0.3619012481682793,0.1964728547712498,0.1991159544727609,0.1585230218140786,5.776363460737384e-25,0.1650892025049165,1.607975157977404e-16,0.0,
43,nfbotv2,nfunswv2,mlp,0.05,calibrate,69537,0.490370551571952,0.943678896856096,0.0,0.5204403200788037,0.0,0.0362657700947681,0.0116143863225567,0.1554107211086637,0.0324400782144453,,,0.0,
43,nfbotv2,nfunswv2,mlp,0.05,rethreshold,69537,0.435396470727969,0.8505467954249302,0.1584075045870352,0.5231553068796795,0.4122332962658879,0.1964728547712498,0.1991159544727609,0.1585230218140786,5.776363460737384e-25,0.161275866272321,3.9626822639192417e-25,0.0,
43,nfbotv2,nfunswv2,mlp,0.1,calibrate,139072,0.490370551571952,0.943678896856096,0.0,0.5204289673102439,0.0,0.0362682538732835,0.010488844710317,0.1553812360455526,0.0321704393805217,,,0.0,
43,nfbotv2,nfunswv2,mlp,0.1,rethreshold,139072,0.435396470727969,0.8505467954249302,0.1584075045870352,0.5231553068796795,0.4122332962658879,0.1964728547712498,0.1991159544727609,0.1585230218140786,5.776363460737384e-25,0.1604613787115457,3.9626822639192417e-25,0.0,
43,nfbotv2,nftonv2,mlp,0.0,zero_shot,250000,0.3936995062458393,0.4418804113308244,-0.1462111774945756,0.4931098320447996,0.5682274369548557,0.5006727564660257,0.5035891990875558,0.1738944701260078,0.999981887840621,,,,47.0
43,nfbotv2,nftonv2,mlp,0.0001,calibrate,213,0.4206219075539693,0.6107334447783608,0.0,0.5202368819469403,1.0,0.1961884601825789,0.0547471203158348,0.1526714295615285,0.712347098163347,,,0.0,
43,nfbotv2,nftonv2,mlp,0.0001,rethreshold,213,0.4490881054619391,0.4418804113308244,0.0201875852910105,0.4931098320447996,0.9630487938396408,0.5006727564660257,0.5035891990875558,0.1738944701260078,0.999981887840621,0.1141376460323548,2.046734233502153e-44,0.0,
