seed,source,target,model,budget,buffer_est,cv_est,cv_mode,rt,bo,chose_rt,realised,oracle,regret,always_retrain,correct
42,nftonv2,nf2018v2,rf,0.001,0.1948964615049223,0.9703293357412658,cv3,0.1963547445948619,0.9617495449421696,0,0.9617495449421696,0.9617495449421696,0.0,0.0,True
42,nftonv2,nf2018v2,rf,0.01,0.1966709388213602,0.9735786548371088,cv3,0.1962707667999285,0.972867491168671,0,0.972867491168671,0.972867491168671,0.0,0.0,True
42,nftonv2,nf2018v2,rf,0.05,0.1990235798471627,0.9745410559587144,cv3,0.1962707667999285,0.9759352351671404,0,0.9759352351671404,0.9759352351671404,0.0,0.0,True
42,nftonv2,nf2018v2,rf,0.1,0.1979298330269652,0.975817148913902,cv3,0.1963547445948619,0.9769556813096164,0,0.9769556813096164,0.9769556813096164,0.0,0.0,True
42,nftonv2,nfunswv2,rf,0.0001,0.3061148374487811,0.9358576176957496,cv3,0.2417283819400471,0.8761985266844862,0,0.8761985266844862,0.8761985266844862,0.0,0.0,True
42,nftonv2,nfunswv2,rf,0.001,0.3012849152877177,0.9060216923915888,cv3,0.2541764142557255,0.9017121184941622,0,0.9017121184941622,0.9017121184941622,0.0,0.0,True
42,nftonv2,nfunswv2,rf,0.01,0.2584359620778999,0.9381582452348606,cv3,0.2547484774883744,0.9416738256656512,0,0.9416738256656512,0.9416738256656512,0.0,0.0,True
42,nftonv2,nfunswv2,rf,0.05,0.2602241151859306,0.9473607608291452,cv3,0.2569718295639525,0.947460954031949,0,0.947460954031949,0.947460954031949,0.0,0.0,True
42,nftonv2,nfunswv2,rf,0.1,0.2524544977865504,0.9494563386460269,cv3,0.2569718295639525,0.9521709432394554,0,0.9521709432394554,0.9521709432394554,0.0,0.0,True
42,nftonv2,nfbotv2,rf,0.0001,0.3476108935769035,1.0,resub,0.0344741111504941,0.216992622689214,0,0.216992622689214,0.216992622689214,0.0,0.0,True
42,nftonv2,nfbotv2,rf,0.001,0.0550271442301184,0.6858893278688257,cv3,0.0344741111504941,0.7254914102759167,0,0.7254914102759167,0.7254914102759167,0.0,0.0,True
42,nftonv2,nfbotv2,rf,0.01,0.1504466359517657,0.918989628793936,cv3,0.1343023550726566,0.8904987449953482,0,0.8904987449953482,0.8904987449953482,0.0,0.0,True
42,nftonv2,nfbotv2,rf,0.05,0.1397078181743519,0.9541725696614096,cv3,0.1430806769970848,0.957586525495166,0,0.957586525495166,0.957586525495166,0.0,0.0,True
42,nftonv2,nfbotv2,rf,0.1,0.1603548361224898,0.9688218499862036,cv3,0.1430806769970848,0.9686476482794264,0,0.9686476482794264,0.9686476482794264,0.0,0.0,True
42,nftonv2,nf2018v2,lgbm,0.0001,0.523270039987992,0.8894090263647848,cv3,0.3512635996669515,0.903267570215251,0,0.903267570215251,0.903267570215251,0.0,0.0,True
42,nftonv2,nf2018v2,lgbm,0.001,0.4522028018234111,0.9678892798366636,cv3,0.3891840579181252,0.961725791726759,0,0.961725791726759,0.961725791726759,0.0,0.0,True
42,nftonv2,nf2018v2,lgbm,0.01,0.4250773450646409,0.9717158536206956,cv3,0.4122182707384724,0.9736689500113244,0,0.9736689500113244,0.9736689500113244,0.0,0.0,True
42,nftonv2,nf2018v2,lgbm,0.05,0.4156619367849852,0.9748192800028174,cv3,0.4122182707384724,0.9760078450582204,0,0.9760078450582204,0.9760078450582204,0.0,0.0,True
42,nftonv2,nf2018v2,lgbm,0.1,0.4118967129649799,0.9753286031646132,cv3,0.4122182707384724,0.976906323321744,0,0.976906323321744,0.976906323321744,0.0,0.0,True
42,nftonv2,nfunswv2,lgbm,0.0001,0.434433417644404,0.8717152353914989,cv3,0.1915932262436625,0.7394773684828944,0,0.7394773684828944,0.7394773684828944,0.0,0.0,True
42,nftonv2,nfunswv2,lgbm,0.001,0.2512382483600384,0.848410526924862,cv3,0.2158123485781153,0.8783335913449848,0,0.8783335913449848,0.8783335913449848,0.0,0.0,True
42,nftonv2,nfunswv2,lgbm,0.01,0.2014960700950697,0.9288510975947402,cv3,0.2192701442225516,0.9406611226839506,0,0.9406611226839506,0.9406611226839506,0.0,0.0,True
42,nftonv2,nfunswv2,lgbm,0.05,0.2150781495309491,0.9413234193205956,cv3,0.2192701442225516,0.9454640344668888,0,0.9454640344668888,0.9454640344668888,0.0,0.0,True
42,nftonv2,nfunswv2,lgbm,0.1,0.209025090981054,0.948797937029876,cv3,0.2192701442225516,0.9488703253372784,0,0.9488703253372784,0.9488703253372784,0.0,0.0,True
42,nftonv2,nfbotv2,lgbm,0.0001,1.0,1.0,resub,0.2144354858338644,0.4054627247441705,0,0.4054627247441705,0.4054627247441705,0.0,0.0,True
