seed,source,target,model,budget,strategy,n_train,macro_f1,weighted_f1,mcc,auprc_macro,fp_rate,brier,ece,mcc_best_thr,thr_best,buffer_est,cv_est,cv_mode,n_pseudo,n_benign_buf,fit_s
42,nf2018v2,nfbotv2,lgbm,0.0001,al_iterative,210,0.7680699593774534,0.9957519656418837,0.5434357886332296,0.8241104767918994,0.3575685339690107,0.003965510056336155,0.004326753483504918,0.7527000820951858,0.03322694015705763,,,,,57,0
42,nf2018v2,nfbotv2,lgbm,0.0001,insomnia,16661,0.29791108279907064,0.5813473718185576,0.03491592399444434,0.5141151147562343,0.1466030989272944,0.5643209737118875,0.5540262946296239,0.13430235507265664,3.258387284477783e-09,,,,16451,0,1
42,nf2018v2,nfbotv2,lgbm,0.001,al_iterative,2100,0.8828235838390144,0.9981634500356233,0.7735913495844707,0.9073697116113122,0.3289630512514899,0.0016255071180252983,0.0016598197829357294,0.7987014679042741,0.9993333954975959,,,,,507,2
42,nf2018v2,nfbotv2,lgbm,0.001,insomnia,18551,0.33376593624496514,0.6510701191120158,0.043882284740686776,0.5025286413053819,0.1466030989272944,0.5112528349134683,0.5106976930773418,0.07660587990402852,3.28669387376434e-06,,,,16451,1,1
42,nf2018v2,nfunswv2,mlp,0.0001,selector_v2,144,0.48467871570150534,0.9181498377878126,,0.48050208248097664,0.053584976252585195,0.07455404478960588,0.060391996640676966,0.06566264669141926,0.999999993950387,0.35398264645063965,0.7908351786510934,cv3,,134,
42,nf2018v2,nfunswv2,mlp,0.0001,finetune,250143,0.5063339139989963,0.9414408375820721,0.02804309476219641,0.49593803001987263,0.0082518369170971,0.046027567571163934,0.04698043375094861,0.06562210128349305,0.9999174420720817,,,,,134,1
42,nf2018v2,nfunswv2,mlp,0.0001,iw_augment,250143,0.5222423478494119,0.944215625782372,0.07740985679165503,0.5072836630066255,0.005502956735016265,0.04155189626750157,0.03793657537580342,0.07885472010682487,0.41458581109250486,,,,,134,45
42,nf2018v2,nfunswv2,mlp,0.001,selector_v2,1392,0.48467871570150534,0.9181498377878126,,0.48050208248097664,0.053584976252585195,0.07455404478960584,0.060391996640676904,0.06566264669141926,0.999999993950387,0.29052599001245155,0.7908960655068893,cv3,,1338,
42,nf2018v2,nfunswv2,mlp,0.001,finetune,251391,0.5026776100377273,0.9136620994208362,0.010415211553629363,0.477180177328517,0.06772949771879319,0.09116607363448438,0.06279921458555873,0.0688694177978112,0.9999999931741361,,,,,1338,1
42,nf2018v2,nfunswv2,mlp,0.001,iw_augment,251391,0.7953388986034873,0.9717224143929791,0.595196599243109,0.8026475754081086,0.009821140915184835,0.021025357513337076,0.011431955595008779,0.6188774191149886,0.2878921218406736,,,,,1338,44
