seed,source,target,model,budget,1,3,10,bo
43,nfbotv2,nf2018v2,rf,0.01,0.5364,0.9723,0.9733,0.9725
43,nfbotv2,nftonv2,lgbm,0.001,0.077,0.077,0.077,0.9363
43,nfbotv2,nftonv2,lgbm,0.01,0.077,0.077,0.077,0.9701
43,nfbotv2,nftonv2,mlp,0.001,0.2955,0.6627,0.7536,0.9029
43,nfbotv2,nftonv2,mlp,0.01,0.8317,0.8985,0.9088,0.9306
43,nfbotv2,nftonv2,rf,0.001,-0.0112,0.8832,0.9367,0.9373
43,nfbotv2,nftonv2,rf,0.01,-0.0013,0.9119,0.9659,0.9675
43,nfbotv2,nfunswv2,lgbm,0.001,-0.0532,-0.0532,-0.0532,0.8823
43,nfbotv2,nfunswv2,lgbm,0.01,-0.0532,-0.0532,-0.0532,0.9376
43,nfbotv2,nfunswv2,mlp,0.001,0.311,0.5441,0.5909,0.8004
43,nfbotv2,nfunswv2,mlp,0.01,0.3316,0.755,0.5906,0.9031
43,nfbotv2,nfunswv2,rf,0.001,0.4528,0.8854,0.8842,0.8876
43,nfbotv2,nfunswv2,rf,0.01,0.4699,0.9295,0.9333,0.9334
43,nftonv2,nf2018v2,lgbm,0.001,0.9558,0.9571,0.957,0.963
43,nftonv2,nf2018v2,lgbm,0.01,0.9519,0.9086,0.908,0.9725
43,nftonv2,nf2018v2,mlp,0.001,0.2144,0.8573,0.9467,0.9442
43,nftonv2,nf2018v2,mlp,0.01,0.9354,0.9657,0.9684,0.964
43,nftonv2,nf2018v2,rf,0.001,0.2891,0.9223,0.9607,0.9623
43,nftonv2,nf2018v2,rf,0.01,0.2906,0.9413,0.9729,0.9725
43,nftonv2,nfbotv2,lgbm,0.001,0.5915,0.5935,0.5935,0.7953
43,nftonv2,nfbotv2,lgbm,0.01,0.9058,0.9026,0.9038,0.5525
43,nftonv2,nfbotv2,mlp,0.001,0.6944,0.6961,0.7261,0.6862
43,nftonv2,nfbotv2,mlp,0.01,0.8751,0.8912,0.901,0.7417
43,nftonv2,nfbotv2,rf,0.001,0.0253,0.8918,0.84,0.8191
43,nftonv2,nfbotv2,rf,0.01,0.0262,0.9101,0.9332,0.9237
43,nftonv2,nfunswv2,lgbm,0.001,0.8741,0.8777,0.8759,0.8823
43,nftonv2,nfunswv2,lgbm,0.01,0.9335,0.9335,0.933,0.9376
43,nftonv2,nfunswv2,mlp,0.001,0.3506,0.6983,0.7607,0.8004
43,nftonv2,nfunswv2,mlp,0.01,0.7451,0.8824,0.8742,0.9031
43,nftonv2,nfunswv2,rf,0.001,0.1848,0.8559,0.8934,0.8876
43,nftonv2,nfunswv2,rf,0.01,0.1928,0.9011,0.9307,0.9334
43,nfunswv2,nf2018v2,lgbm,0.001,0.8533,0.8469,0.8741,0.963
43,nfunswv2,nf2018v2,lgbm,0.01,0.9554,0.9217,0.8825,0.9725
43,nfunswv2,nf2018v2,mlp,0.001,0.2195,0.782,0.8672,0.9442
43,nfunswv2,nf2018v2,mlp,0.01,0.892,0.9504,0.9569,0.964
43,nfunswv2,nf2018v2,rf,0.001,0.7341,0.9666,0.9653,0.9623
43,nfunswv2,nf2018v2,rf,0.01,0.744,0.9704,0.9727,0.9725
43,nfunswv2,nfbotv2,lgbm,0.001,0.7825,0.79,0.7893,0.7953
43,nfunswv2,nfbotv2,lgbm,0.01,0.9054,0.921,0.9216,0.5525
