source,target,model,budget,strategy,mcc_mean,mcc_std,mcc_best_thr_mean,mcc_best_thr_std,macro_f1_mean,macro_f1_std,auprc_macro_mean,auprc_macro_std,fp_rate_mean,fp_rate_std,ece_mean,ece_std,n_train_mean,n_train_std
nf2018v2,nfunswv2,lgbm,0.0,zero_shot,0.1344,0.0231,0.1381,0.0214,0.5196,0.0053,0.513,0.0145,0.0007,0.0002,0.0371,0.0019,249999.0,0.0
nf2018v2,nfunswv2,lgbm,0.0001,augment,0.6781,,0.7785,,0.8305,,0.9029,,0.0037,,0.0105,,250143.0,
nf2018v2,nfunswv2,lgbm,0.0001,buffer_only,0.7578,0.0291,0.7949,0.0561,0.8787,0.0142,0.8652,0.007,0.0099,0.0007,0.0159,0.0026,144.0,0.0
nf2018v2,nfunswv2,lgbm,0.0001,calibrate,0.0,0.0,0.1726,0.0653,0.4904,0.0,0.5338,0.0227,0.0,0.0,0.0333,0.0008,144.0,0.0
nf2018v2,nfunswv2,lgbm,0.0001,rethreshold,0.0752,0.0675,0.1381,0.0214,0.5023,0.0111,0.513,0.0145,0.0002,0.0001,0.0371,0.0019,144.0,0.0
nf2018v2,nfunswv2,lgbm,0.001,augment,0.8877,,0.9002,,0.9438,,0.9492,,0.0048,,0.0016,,251391.0,
nf2018v2,nfunswv2,lgbm,0.001,buffer_only,0.8825,0.0043,0.8956,0.0089,0.9405,0.0026,0.9449,0.0121,0.0066,0.0022,0.0081,0.0007,1392.0,0.0
nf2018v2,nfunswv2,lgbm,0.001,calibrate,0.0,0.0,0.1726,0.0653,0.4904,0.0,0.5338,0.0227,0.0,0.0,0.0028,0.0006,1392.0,0.0
nf2018v2,nfunswv2,lgbm,0.001,rethreshold,0.0902,0.0614,0.1381,0.0214,0.5125,0.0079,0.513,0.0145,0.013,0.0221,0.0371,0.0019,1392.0,0.0
nf2018v2,nfunswv2,lgbm,0.01,augment,0.9347,,0.9328,,0.9672,,0.9847,,0.0034,,0.0009,,263906.0,
nf2018v2,nfunswv2,lgbm,0.01,buffer_only,0.9383,0.0021,0.9388,0.0026,0.969,0.0011,0.9853,0.0001,0.0034,0.0005,0.004,0.0002,13907.0,0.0
nf2018v2,nfunswv2,lgbm,0.01,calibrate,0.0495,0.0707,0.1381,0.0214,0.4979,0.0125,0.513,0.0145,0.0001,0.0001,0.0014,0.0002,13907.0,0.0
nf2018v2,nfunswv2,lgbm,0.01,rethreshold,0.1336,0.0222,0.1381,0.0214,0.519,0.0057,0.513,0.0145,0.0006,0.0002,0.0371,0.0019,13907.0,0.0
nf2018v2,nfunswv2,lgbm,0.05,buffer_only,0.9453,0.0015,0.943,0.0013,0.9726,0.0007,0.988,0.001,0.0028,0.0002,0.0028,0.0001,69537.0,0.0
nf2018v2,nfunswv2,lgbm,0.05,calibrate,0.0639,0.0691,0.1381,0.0214,0.5006,0.013,0.513,0.0145,0.0001,0.0001,0.0015,0.0001,69537.0,0.0
nf2018v2,nfunswv2,lgbm,0.05,rethreshold,0.1363,0.0216,0.1381,0.0214,0.521,0.0046,0.513,0.0145,0.0007,0.0002,0.0371,0.0019,69537.0,0.0
nf2018v2,nfunswv2,lgbm,0.1,buffer_only,0.9485,0.0004,0.9452,0.0014,0.9742,0.0002,0.9915,0.0004,0.0026,0.0002,0.0019,0.0001,139072.0,0.0
nf2018v2,nfunswv2,lgbm,0.1,calibrate,0.0668,0.0704,0.1381,0.0214,0.5012,0.0133,0.513,0.0145,0.0002,0.0001,0.0016,0.0003,139072.0,0.0
nf2018v2,nfunswv2,lgbm,0.1,rethreshold,0.1342,0.0247,0.1381,0.0214,0.5193,0.0077,0.513,0.0145,0.0006,0.0001,0.0371,0.0019,139072.0,0.0
nf2018v2,nfunswv2,mlp,0.0,zero_shot,-0.0408,0.0141,0.0603,0.0309,0.4759,0.0129,0.4854,0.0044,0.0813,0.0524,0.07,0.0231,249999.0,0.0
nf2018v2,nfunswv2,mlp,0.0001,augment,0.0774,,0.0755,,0.5222,,0.5073,,0.0055,,0.0379,,250143.0,
