seed,source,target,model,budget,strategy,n_train,n_threshold,n_labels,mcc,macro_f1,fp_rate,auprc_macro,thr,tpr_dep,fpr_dep,tpr_oracle_fpr01,tpr_oracle_fpr001,fit_s
42,nf2018v2,nftonv2,lgbm,0.01,rethreshold_split,14700,6300,21000,0.47714,0.71357,0.58188,0.68943,0.00024,0.04287,0.00783,0.04337,0.01057,
42,nf2018v2,nfbotv2,lgbm,0.0001,calibrate_split,148,63,211,0.0,0.49895,1.0,0.53766,,,,0.00112,0.00018,
42,nf2018v2,nfbotv2,lgbm,0.001,calibrate_split,1470,631,2101,0.0,0.49895,1.0,0.53766,0.9951,0.98876,0.55542,0.00112,0.00018,
42,nf2018v2,nfbotv2,lgbm,0.001,calibrate_rethreshold,1470,631,2101,0.24674,0.60471,0.55542,0.53766,0.9951,0.98876,0.55542,0.00112,0.00018,
42,nf2018v2,nfbotv2,lgbm,0.001,rethreshold_split,1470,631,2101,0.24674,0.60471,0.55542,0.53766,0.03981,0.98876,0.55542,0.00112,0.00018,
42,nf2018v2,nfbotv2,lgbm,0.01,calibrate_split,14700,6300,21000,0.0,0.49895,1.0,0.53766,0.99826,0.00096,0.00596,0.00112,0.00018,
42,nf2018v2,nfbotv2,lgbm,0.01,calibrate_rethreshold,14700,6300,21000,0.25162,0.60917,0.56496,0.53766,0.99368,0.00096,0.00596,0.00112,0.00018,
42,nf2018v2,nfbotv2,lgbm,0.01,rethreshold_split,14700,6300,21000,0.25162,0.60917,0.56496,0.53766,0.03432,0.00096,0.00596,0.00112,0.00018,
42,nf2018v2,nfunswv2,mlp,0.0001,calibrate_split,101,43,144,0.0,0.49037,0.0,0.48042,0.07017,0.02514,0.09252,0.01733,0.0123,
42,nf2018v2,nfunswv2,mlp,0.0001,calibrate_rethreshold,101,43,144,0.20367,0.58081,0.09372,0.53779,0.93165,0.0,0.0,0.0,0.0,
42,nf2018v2,nfunswv2,mlp,0.0001,rethreshold_split,101,43,144,0.20367,0.58081,0.09372,0.5376,1.0,0.0,0.0,0.0,0.0,
42,nf2018v2,nfunswv2,mlp,0.001,calibrate_split,975,417,1392,0.0,0.49037,0.0,0.53764,0.04203,0.0,0.0,0.0,0.0,
42,nf2018v2,nfunswv2,mlp,0.001,calibrate_rethreshold,975,417,1392,0.17214,0.56956,0.08887,0.53764,0.04203,0.0,0.0,0.0,0.0,
42,nf2018v2,nfunswv2,mlp,0.001,rethreshold_split,975,417,1392,0.17214,0.56956,0.08887,0.5376,1.0,0.0,0.0,0.0,0.0,
42,nf2018v2,nfunswv2,mlp,0.01,calibrate_split,9734,4173,13907,0.0,0.49037,0.0,0.5376,0.04375,0.0,0.0,0.0,0.0,
42,nf2018v2,nfunswv2,mlp,0.01,calibrate_rethreshold,9734,4173,13907,0.20752,0.57789,0.10422,0.5376,0.04375,0.0,0.0,0.0,0.0,
42,nf2018v2,nfunswv2,mlp,0.01,rethreshold_split,9734,4173,13907,0.20752,0.57789,0.10422,0.5376,1.0,0.0,0.0,0.0,0.0,
42,nf2018v2,nftonv2,mlp,0.0001,calibrate_split,150,63,213,0.0,0.42062,1.0,0.55881,0.77513,0.08227,0.09781,0.01541,0.00059,
42,nf2018v2,nftonv2,mlp,0.0001,calibrate_rethreshold,150,63,213,0.02528,0.50909,0.77972,0.45742,0.2396,0.0,0.0,0.0,0.0,
42,nf2018v2,nftonv2,mlp,0.0001,rethreshold_split,150,63,213,0.02528,0.50909,0.77972,0.45733,0.28544,0.0,0.0,0.0,0.0,
42,nf2018v2,nftonv2,mlp,0.001,calibrate_split,1470,630,2100,0.0,0.42062,1.0,0.55873,0.7326,0.00054,0.00099,0.01541,0.00059,
42,nf2018v2,nftonv2,mlp,0.001,calibrate_rethreshold,1470,630,2100,0.19871,0.59915,0.60012,0.55873,0.72361,0.00054,0.00099,0.01541,0.00059,
42,nf2018v2,nftonv2,mlp,0.001,rethreshold_split,1470,630,2100,0.19871,0.59915,0.60012,0.55926,0.00353,0.00054,0.00099,0.01541,0.00059,
42,nf2018v2,nftonv2,mlp,0.01,calibrate_split,14700,6300,21000,0.0,0.42062,1.0,0.55848,0.7403,0.01679,0.01139,0.01541,0.00059,
42,nf2018v2,nftonv2,mlp,0.01,calibrate_rethreshold,14700,6300,21000,0.20605,0.60123,0.52093,0.55848,0.72122,0.01679,0.01139,0.01541,0.00059,
42,nf2018v2,nftonv2,mlp,0.01,rethreshold_split,14700,6300,21000,0.2139,0.48722,0.93329,0.55926,0.0,0.01679,0.01139,0.01541,0.00059,
42,nf2018v2,nfbotv2,mlp,0.0001,calibrate_split,148,63,211,0.0,0.49895,1.0,0.64473,,,,0.0,0.0,
42,nf2018v2,nfbotv2,mlp,0.001,calibrate_split,1470,631,2101,0.0,0.49895,1.0,0.64473,0.9971,0.53242,0.22884,0.0,0.0,
42,nf2018v2,nfbotv2,mlp,0.001,calibrate_rethreshold,1470,631,2101,0.38794,0.6801,0.7354,0.64473,0.98935,0.53242,0.22884,0.0,0.0,
42,nf2018v2,nfbotv2,mlp,0.001,rethreshold_split,1470,631,2101,0.38794,0.6801,0.7354,0.64473,0.00364,0.53242,0.22884,0.0,0.0,
42,nf2018v2,nfbotv2,mlp,0.01,calibrate_split,14700,6300,21000,0.0,0.49895,1.0,0.64473,0.99792,0.0,0.0,0.0,0.0,
42,nf2018v2,nfbotv2,mlp,0.01,calibrate_rethreshold,14700,6300,21000,0.3576,0.65128,0.80095,0.64473,0.9825,0.0,0.0,0.0,0.0,
42,nf2018v2,nfbotv2,mlp,0.01,rethreshold_split,14700,6300,21000,0.3576,0.65128,0.80095,0.64473,0.00174,0.0,0.0,0.0,0.0,
42,nfunswv2,nf2018v2,rf,0.0001,calibrate_split,151,66,217,0.0,0.46854,0.0,0.52271,0.15358,0.0,0.00053,0.0003,0.0,
42,nfunswv2,nf2018v2,rf,0.0001,calibrate_rethreshold,151,66,217,0.2057,0.44928,0.55417,0.50953,0.85298,0.00046,0.00809,0.00055,4e-05,
42,nfunswv2,nf2018v2,rf,0.0001,rethreshold_split,151,66,217,0.2057,0.44928,0.55417,0.50953,0.34667,0.00046,0.00809,0.00055,4e-05,
42,nfunswv2,nf2018v2,rf,0.001,calibrate_split,1472,630,2102,0.0,0.46854,0.0,0.50953,0.12178,4e-05,0.00197,0.00055,4e-05,
42,nfunswv2,nf2018v2,rf,0.001,calibrate_rethreshold,1472,630,2102,0.27608,0.48463,0.5204,0.52271,0.88,0.0,0.0006,0.0003,0.0,
42,nfunswv2,nf2018v2,rf,0.001,rethreshold_split,1472,630,2102,0.27608,0.48463,0.5204,0.52271,0.52333,0.0,0.0006,0.0003,0.0,
42,nfunswv2,nf2018v2,rf,0.01,calibrate_split,14701,6300,21001,0.0,0.46854,0.0,0.52271,0.11873,0.0,0.00029,0.0003,0.0,
42,nfunswv2,nf2018v2,rf,0.01,calibrate_rethreshold,14701,6300,21001,0.2797,0.4835,0.52444,0.52271,0.11829,0.0,0.00029,0.0003,0.0,
42,nfunswv2,nf2018v2,rf,0.01,rethreshold_split,14701,6300,21001,0.2797,0.4835,0.52444,0.52271,0.51667,0.0,0.00029,0.0003,0.0,
42,nfunswv2,nftonv2,rf,0.0001,calibrate_split,150,63,213,0.0,0.42062,1.0,0.71432,0.83829,0.0,0.00984,0.0,0.0,
42,nfunswv2,nftonv2,rf,0.0001,calibrate_rethreshold,150,63,213,0.55243,0.7452,0.55339,0.71432,0.69776,0.0,0.00984,0.0,0.0,
42,nfunswv2,nftonv2,rf,0.0001,rethreshold_split,150,63,213,0.55243,0.7452,0.55339,0.71432,0.09,0.0,0.00984,0.0,0.0,
42,nfunswv2,nftonv2,rf,0.001,calibrate_split,1470,630,2100,0.0,0.42062,1.0,0.71432,0.94545,0.0,0.00334,0.0,0.0,
42,nfunswv2,nftonv2,rf,0.001,calibrate_rethreshold,1470,630,2100,0.56482,0.7434,0.57115,0.71432,0.6569,0.0,0.00334,0.0,0.0,
42,nfunswv2,nftonv2,rf,0.001,rethreshold_split,1470,630,2100,0.56482,0.7434,0.57115,0.71432,0.08667,0.0,0.00334,0.0,0.0,
42,nfunswv2,nftonv2,rf,0.01,calibrate_split,14700,6300,21000,0.0,0.42062,1.0,0.71432,0.96861,0.0,0.00011,0.0,0.0,
42,nfunswv2,nftonv2,rf,0.01,calibrate_rethreshold,14700,6300,21000,0.56482,0.7434,0.57115,0.71432,0.63854,0.0,0.00011,0.0,0.0,
42,nfunswv2,nftonv2,rf,0.01,rethreshold_split,14700,6300,21000,0.56482,0.7434,0.57115,0.71432,0.08667,0.0,0.00011,0.0,0.0,
42,nfunswv2,nfbotv2,rf,0.0001,calibrate_split,148,63,211,0.0,0.49895,1.0,0.52386,,,,0.08366,1e-05,
42,nfunswv2,nfbotv2,rf,0.001,calibrate_split,1470,631,2101,0.0,0.49895,1.0,0.52386,0.99627,0.46911,0.04291,0.08366,1e-05,
42,nfunswv2,nfbotv2,rf,0.001,calibrate_rethreshold,1470,631,2101,0.17975,0.58981,0.8236,0.52386,0.9946,0.46911,0.04291,0.08366,1e-05,
42,nfunswv2,nfbotv2,rf,0.001,rethreshold_split,1470,631,2101,0.17975,0.58981,0.8236,0.52386,0.14,0.46911,0.04291,0.08366,1e-05,
42,nfunswv2,nfbotv2,rf,0.01,calibrate_split,14700,6300,21000,0.0,0.49895,1.0,0.52386,0.99684,0.47128,0.07986,0.08366,1e-05,
42,nfunswv2,nfbotv2,rf,0.01,calibrate_rethreshold,14700,6300,21000,0.19787,0.59695,0.83552,0.52386,0.98516,0.47128,0.07986,0.08366,1e-05,
42,nfunswv2,nfbotv2,rf,0.01,rethreshold_split,14700,6300,21000,0.19787,0.59695,0.83552,0.52386,0.13333,0.47128,0.07986,0.08366,1e-05,
42,nfunswv2,nf2018v2,lgbm,0.0001,calibrate_split,151,66,217,0.0,0.46854,0.0,0.6362,0.16791,0.00038,0.00799,0.00059,0.00017,
42,nfunswv2,nf2018v2,lgbm,0.0001,calibrate_rethreshold,151,66,217,0.55107,0.76201,0.11316,0.6362,0.16782,0.00038,0.00799,0.00059,0.00017,
42,nfunswv2,nf2018v2,lgbm,0.0001,rethreshold_split,151,66,217,0.55107,0.76201,0.11316,0.6362,0.9994,0.00038,0.00799,0.00059,0.00017,
42,nfunswv2,nf2018v2,lgbm,0.001,calibrate_split,1472,630,2102,0.0,0.46854,0.0,0.6362,0.13971,0.00017,0.0011,0.00059,0.00017,
42,nfunswv2,nf2018v2,lgbm,0.001,calibrate_rethreshold,1472,630,2102,0.56111,0.76586,0.11448,0.6362,0.1395,0.00017,0.0011,0.00059,0.00017,
42,nfunswv2,nf2018v2,lgbm,0.001,rethreshold_split,1472,630,2102,0.56111,0.76586,0.11448,0.6362,0.99929,0.00017,0.0011,0.00059,0.00017,
42,nfunswv2,nf2018v2,lgbm,0.01,calibrate_split,14701,6300,21001,0.0,0.46854,0.0,0.6362,0.14593,0.0,8e-05,0.00059,0.00017,
42,nfunswv2,nf2018v2,lgbm,0.01,calibrate_rethreshold,14701,6300,21001,0.5637,0.76601,0.11707,0.6362,0.14544,0.0,8e-05,0.00059,0.00017,
42,nfunswv2,nf2018v2,lgbm,0.01,rethreshold_split,14701,6300,21001,0.5637,0.76601,0.11707,0.6362,0.99913,0.0,8e-05,0.00059,0.00017,
42,nfunswv2,nftonv2,lgbm,0.0001,calibrate_split,150,63,213,0.0,0.42062,1.0,0.54512,0.7315,0.00019,0.00434,0.00045,1e-05,
42,nfunswv2,nftonv2,lgbm,0.0001,calibrate_rethreshold,150,63,213,0.24625,0.53277,0.15591,0.54512,0.73142,0.00019,0.00434,0.00045,1e-05,
42,nfunswv2,nftonv2,lgbm,0.0001,rethreshold_split,150,63,213,0.24625,0.53277,0.15591,0.54512,0.99937,0.00019,0.00434,0.00045,1e-05,
42,nfunswv2,nftonv2,lgbm,0.001,calibrate_split,1470,630,2100,0.10331,0.46179,0.95597,0.54512,0.73697,0.00093,0.01666,0.00045,1e-05,
